date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,tier,outcome_home,elo_home,elo_away,elo_diff
2000-01-04,Egypt,Togo,2.0,1.0,Friendly,Aswan,Egypt,False,4,1.0,1500.0,1500.0,0.0
2000-01-07,Tunisia,Togo,7.0,0.0,Friendly,Tunis,Tunisia,False,4,1.0,1500.0,1495.0,5.0
2000-01-08,Trinidad and Tobago,Canada,0.0,0.0,Friendly,Port of Spain,Trinidad and Tobago,False,4,0.5,1500.0,1500.0,0.0
2000-01-09,Mexico,Iran,2.0,1.0,Friendly,Oakland,United States,True,4,1.0,1500.0,1500.0,0.0
2000-01-09,Ivory Coast,Egypt,2.0,0.0,Friendly,Abidjan,Ivory Coast,False,4,1.0,1500.0,1505.0,-5.0
2000-01-09,Burkina Faso,Gabon,1.0,1.0,Friendly,Ouagadougou,Burkina Faso,False,4,0.5,1500.0,1500.0,0.0
2000-01-09,Guatemala,Armenia,1.0,1.0,Friendly,Los Angeles,United States,True,4,0.5,1500.0,1500.0,0.0
2000-01-11,Bermuda,Canada,0.0,2.0,Friendly,Hamilton,Bermuda,False,4,0.0,1500.0,1500.0,0.0
2000-01-11,Burkina Faso,Cameroon,2.0,2.0,Friendly,Ouagadougou,Burkina Faso,False,4,0.5,1500.0,1500.0,0.0
2000-01-13,Senegal,Cameroon,0.0,0.0,Friendly,Dakar,Senegal,False,4,0.5,1500.0,1500.0,0.0
2000-01-14,China,New Zealand,1.0,0.0,Friendly,Guangzhou,China,False,4,1.0,1500.0,1500.0,0.0
2000-01-16,Jamaica,New Zealand,2.0,1.0,Friendly,Guangzhou,China,True,4,1.0,1500.0,1495.0,5.0
2000-01-16,United States,Iran,1.0,1.0,Friendly,Pasadena,United States,False,4,0.5,1500.0,1495.0,5.0
2000-01-18,Morocco,Trinidad and Tobago,1.0,0.0,Friendly,El Jadida,Morocco,False,4,1.0,1500.0,1500.0,0.0
2000-01-18,Ghana,Tunisia,2.0,0.0,Friendly,Accra,Ghana,False,4,1.0,1500.0,1511.0881106615464,-11.088110661546352
2000-01-19,Togo,Egypt,1.0,0.0,Friendly,Lomé,Togo,False,4,1.0,1483.9118893384536,1497.3920737743642,-13.480184435910587
2000-01-19,Panama,Guatemala,2.0,0.0,Friendly,Panama City,Panama,False,4,1.0,1500.0,1500.0,0.0
2000-01-20,Burkina Faso,Algeria,1.0,0.0,Friendly,Ouagadougou,Burkina Faso,False,4,1.0,1500.0,1500.0,0.0
2000-01-20,Malta,Qatar,2.0,0.0,Friendly,Attard,Malta,False,4,1.0,1500.0,1500.0,0.0
2000-01-21,New Zealand,South Korea,0.0,1.0,Friendly,Auckland,New Zealand,False,4,0.0,1490.0719508170905,1500.0,-9.92804918290949
2000-01-22,Ghana,Cameroon,1.0,1.0,African Cup of Nations,Accra,Ghana,False,1,0.5,1507.7392748799082,1500.0,7.73927487990818
2000-01-23,China,Philippines,8.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,True,2,1.0,1505.0,1500.0,5.0
2000-01-23,Egypt,Zambia,2.0,0.0,African Cup of Nations,Kano,Nigeria,True,1,1.0,1492.1981756123876,1500.0,-7.801824387612442
2000-01-23,New Zealand,South Korea,0.0,0.0,Friendly,Palmerston North,New Zealand,False,4,0.5,1485.2147880544273,1504.8571627626632,-19.64237470823582
2000-01-23,Nigeria,Tunisia,4.0,2.0,African Cup of Nations,Lagos,Nigeria,False,1,1.0,1500.0,1503.3488357816382,-3.348835781638172
2000-01-23,South Africa,Gabon,3.0,1.0,African Cup of Nations,Kumasi,Ghana,True,1,1.0,1500.0,1500.0,0.0
2000-01-23,Vietnam,Guam,11.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,False,2,1.0,1500.0,1500.0,0.0
2000-01-24,Qatar,Bosnia and Herzegovina,2.0,0.0,Friendly,Doha,Qatar,False,4,1.0,1492.5,1500.0,-7.5
2000-01-24,DR Congo,Algeria,0.0,0.0,African Cup of Nations,Kumasi,Ghana,True,1,0.5,1500.0,1495.0,5.0
2000-01-24,Ivory Coast,Togo,1.0,1.0,African Cup of Nations,Accra,Ghana,True,1,0.5,1507.6079262256358,1489.1057875004303,18.50213872520544
2000-01-25,Burkina Faso,Senegal,1.0,3.0,African Cup of Nations,Kano,Nigeria,True,1,0.0,1505.0,1500.0,5.0
2000-01-25,Morocco,Congo,1.0,0.0,African Cup of Nations,Lagos,Nigeria,True,1,1.0,1505.0,1500.0,5.0
2000-01-26,Vietnam,Philippines,3.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,False,2,1.0,1541.25,1464.88764957177,76.36235042823
2000-01-26,China,Guam,19.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,True,2,1.0,1540.11235042823,1458.75,81.36235042823
2000-01-26,Costa Rica,Trinidad and Tobago,2.0,1.0,Friendly,San José,Costa Rica,False,4,1.0,1500.0,1495.0,5.0
2000-01-26,Guatemala,Panama,1.0,1.0,Friendly,Guatemala City,Guatemala,False,4,0.5,1492.5,1507.5,-15.0
2000-01-26,Uganda,Libya,3.0,2.0,Friendly,Kampala,Uganda,False,4,1.0,1500.0,1500.0,0.0
2000-01-26,Spain,Poland,3.0,0.0,Friendly,Cartagena,Spain,False,4,1.0,1500.0,1500.0,0.0
2000-01-27,South Africa,DR Congo,1.0,0.0,African Cup of Nations,Kumasi,Ghana,True,1,1.0,1530.0,1499.712196731638,30.28780326836204
2000-01-27,Ghana,Togo,2.0,0.0,African Cup of Nations,Accra,Ghana,False,1,1.0,1507.2938400773446,1490.1698505420961,17.123989535248484
2000-01-28,Cameroon,Ivory Coast,3.0,0.0,African Cup of Nations,Accra,Ghana,True,1,1.0,1500.4454348025636,1506.54386318397,-6.098428381406393
2000-01-28,Egypt,Senegal,1.0,0.0,African Cup of Nations,Kano,Nigeria,True,1,1.0,1522.8717260741403,1530.431704902543,-7.559978828402791
2000-01-28,Nigeria,Congo,0.0,0.0,African Cup of Nations,Lagos,Nigeria,False,1,0.5,1530.2891527710888,1480.287803268362,50.001349502726725
2000-01-28,United States Virgin Islands,Saint Lucia,0.0,9.0,Friendly,Saint Croix,United States Virgin Islands,False,4,0.0,1500.0,1500.0,0.0
2000-01-29,Algeria,Gabon,3.0,1.0,African Cup of Nations,Kumasi,Ghana,True,1,1.0,1495.287803268362,1470.0,25.28780326836204
2000-01-29,Chile,United States,1.0,2.0,Friendly,Coquimbo,Chile,False,4,0.0,1500.0,1499.9280491829095,0.0719508170905101
2000-01-29,Philippines,Guam,2.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,True,2,1.0,1444.3159571463304,1415.4369780311151,28.878979115215316
2000-01-29,Tunisia,Morocco,0.0,0.0,African Cup of Nations,Lagos,Nigeria,True,1,0.5,1473.0596830105494,1524.712196731638,-51.65251372108855
2000-01-29,Vietnam,China,0.0,2.0,AFC Asian Cup qualification,Hanoi,Vietnam,False,2,0.0,1561.8216924254396,1583.4253723971149,-21.60367997167532
2000-01-29,Zambia,Burkina Faso,1.0,1.0,African Cup of Nations,Kano,Nigeria,True,1,0.5,1469.3264495382473,1474.568295097457,-5.241845559209651
2000-01-30,United States Virgin Islands,Saint Lucia,0.0,2.0,Friendly,Saint Croix,United States Virgin Islands,False,4,0.0,1487.5,1512.5,-25.0
2000-01-31,Kuwait,Syria,4.0,0.0,Friendly,Kuwait City,Kuwait,False,4,1.0,1500.0,1500.0,0.0
2000-01-31,Iceland,Norway,0.0,0.0,Nordic Championship,Cartagena,Spain,True,3,0.5,1500.0,1500.0,0.0
2000-01-31,Cameroon,Togo,0.0,1.0,African Cup of Nations,Kumasi,Ghana,True,1,0.0,1536.0597157926716,1461.6472585485476,74.41245724412397
2000-01-31,Faroe Islands,Finland,0.0,1.0,Nordic Championship,Cartagena,Spain,True,3,0.0,1500.0,1500.0,0.0
2000-01-31,Ghana,Ivory Coast,0.0,2.0,African Cup of Nations,Accra,Ghana,False,1,0.0,1535.8164320708931,1470.929582193862,64.88684987703118
2000-02-01,British Virgin Islands,Saint Lucia,2.0,3.0,Friendly,Road Town,British Virgin Islands,False,4,0.0,1500.0,1519.4612610958234,-19.461261095823374
2000-02-01,Egypt,Burkina Faso,4.0,2.0,African Cup of Nations,Kano,Nigeria,True,1,1.0,1543.3068447682508,1474.2665731041495,69.04027166410128
